region,state,school,city,website,category,teams
Southeast,FL,IMG Academy,Bradenton,imgacademy.com,National Prep Academy,Both
Southeast,FL,Montverde Academy,Montverde,montverde.org,National Prep Academy,Both
Southeast,FL,DME Academy,Daytona Beach,dmeacademy.com,National Prep Academy/Postgrad,Both
Southeast,FL,Victory Rock Prep,Sarasota,victoryrockprep.com,National Prep Academy/Postgrad,Boys
Southeast,FL,Florida Coastal Prep,Fort Walton Beach,floridacoastalprep.com,National Prep Academy/Postgrad,Boys
Southeast,FL,The First Academy,Orlando,thefirstacademy.org,Christian/Private,Both
Southeast,FL,Windermere Preparatory School,Windermere,windermereprep.com,Independent,Both
Southeast,FL,Orlando Christian Prep,Orlando,orlandochristianprep.org,Christian/Private,Both
Southeast,FL,Calvary Christian Academy,Fort Lauderdale,ccaeagles.org,Christian/Private,Both
Southeast,FL,Calvary Christian High School,Clearwater,cchs.us,Christian/Private,Both
Southeast,FL,NSU University School,Fort Lauderdale,uschool.nova.edu,Independent,Both
Southeast,NC,Combine Academy,Lincolnton,combineacademy.com,National Prep Academy/Postgrad,Both
Southeast,NC,Christ School,Arden,christschool.org,Independent,Boys
Southeast,NC,United Faith Christian Academy,Charlotte,ufca.org,Christian/Private,Boys
Southeast,NC,Word of God Christian Academy,Raleigh,wordofgodchristianacademy.org,Christian/Private,Both
Southeast,NC,Greensboro Day School,Greensboro,greensboroday.org,Independent,Both
Southeast,NC,Lake Norman Christian (Vertical Academy),Huntersville,lakenormanchristian.org,National Prep Academy,Boys
Southeast,NC,Trinity Christian School,Fayetteville,trinitychristian.net,Christian/Private,Both
Southeast,NC,Cannon School,Concord,cannonschool.org,Independent,Both
Southeast,NC,Ravenscroft School,Raleigh,ravenscroft.org,Independent,Both
Southeast,NC,North Raleigh Christian Academy,Raleigh,nrca.us,Christian/Private,Both
Southeast,SC,Legacy Early College,Greenville,lecathletics.com,National Prep Academy,Boys
Southeast,GA,Overtime Elite / OTE Academy,Atlanta,overtime.tv/elite,National Prep Academy,Boys
Southeast,GA,Middle Georgia Prep,Warner Robins,middlegaprep.com,Postgrad Program,Boys
Southeast,GA,Georgia Prep Sports Academy,Atlanta,gaprepsports.com,Postgrad Program,Boys
Southeast,GA,Greenforest McCalep Christian Academy,Decatur,greenforest.org,Christian/Private,Both
Southeast,GA,Holy Innocents' Episcopal School,Atlanta,hies.org,Independent,Both
Southeast,GA,Pace Academy,Atlanta,paceacademy.org,Independent,Both
Southeast,GA,Woodward Academy,College Park,woodward.edu,Independent,Both
Southeast,GA,Mount Paran Christian School,Kennesaw,mtparanschool.com,Christian/Private,Both
Southeast,TN,Hamilton Heights Christian Academy,Chattanooga,hamiltonheights.net,National Prep Academy,Both
Southeast,TN,Baylor School,Chattanooga,baylorschool.org,Independent,Both
Southeast,TN,McCallie School,Chattanooga,mccallie.org,Independent,Boys
Southeast,TN,Brentwood Academy,Brentwood,brentwoodacademy.com,Independent/Christian,Both
Southeast,TN,Montgomery Bell Academy,Nashville,montgomerybell.edu,Independent,Boys
Southeast,TN,Ensworth School,Nashville,ensworth.com,Independent,Both
Southeast,TN,Webb School of Knoxville,Knoxville,webbschool.org,Independent,Both
Southeast,TN,Knoxville Catholic High School,Knoxville,knoxvillecatholic.com,Christian/Private,Both
Southeast,TN,Christ Presbyterian Academy,Nashville,cpalions.org,Christian/Private,Both
Southeast,KY,Aspire Academy,Louisville,aspirebasketballacademy.com,National Prep Academy/Postgrad,Boys
Southeast,KY,Christian Academy of Louisville,Louisville,caschools.us,Christian/Private,Both
Southeast,KY,Lexington Christian Academy,Lexington,lexingtonchristian.org,Christian/Private,Both
Southeast,KY,University Heights Academy,Hopkinsville,uha.org,Independent/Christian,Both
Southeast,AL,Lee-Scott Academy,Auburn,lee-scott.org,Christian/Private,Both
Southeast,AL,Mars Hill Bible School,Florence,mhbs.org,Christian/Private,Both
Southeast,MS,Jackson Academy,Jackson,jacksonacademy.org,Independent/Christian,Both
